CAX_ID,Dependent,Company_Location,Company_raising_fund,Company_Industry_count,Company_mobile_app,Company_investor_count_seed,Company_investor_count_Angel_VC,Company_cofounders_count,Company_advisors_count,Company_avg_investment_time,Company_crowdsourcing,Company_crowdfunding,Company_big_data,Company_analytics_score,Company_Product_or_service,Company_subscription_offering,Founder_highest_degree_type,Company_difficulty_obtaining_workforce,Company_Founder_Patent
karmadata,NaN,USA,Yes,No,Few,Yes,3,3,3,9.398849,No,No,No,2,Both,No,Science,Medium,No
keychain-logistics-corp,NaN,USA,No,No,Many,Yes,6,2,4,5.10673,Yes,Yes,No,2,Service,Yes,Science,Low,Yes
kidadmit-inc,NaN,USA,Yes,Yes,Many,No,11,2,4,9.808698,Yes,Yes,Yes,0,Product,Yes,Science,High,No
kimono-labs,NaN,USA,No,Yes,Many,No,17,0,4,6.263396,No,Yes,No,1,Service,Yes,Technology,Medium,Yes
kld-research,NaN,USA,Yes,Yes,Many,No,1,5,3,8.44264,No,Yes,Yes,3,Product,Yes,Science,Medium,Yes
knoema,NaN,USA,No,Yes,Many,No,13,2,2,3.833617,Yes,Yes,Yes,0,Both,No,Science,Low,Yes
knowledge-agency,NaN,USA,Yes,Yes,Many,No,8,4,5,6.387737,No,Yes,Yes,5,Product,No,Management,Low,Yes
kpmg,NaN,USA,Yes,Yes,Few,Yes,14,2,2,2.426493,Yes,Yes,Yes,2,Service,No,Science,Medium,No
kroll-bond-ratings-agency,NaN,USA,Yes,Yes,Few,No,7,4,4,8.274955,No,No,No,5,Service,Yes,Technology,Medium,Yes
kyruus,NaN,USA,Yes,Yes,Few,Yes,3,1,4,7.706419,No,Yes,No,5,Service,No,Science,Medium,No
lawdragon,NaN,USA,No,No,Few,No,17,2,1,2.244985,No,Yes,No,4,Service,No,Technology,Medium,No
legal-science-partners,NaN,USA,Yes,No,Many,No,11,4,0,8.464809,No,Yes,Yes,4,Service,No,Management,High,Yes
legcyte,NaN,USA,No,Yes,Many,Yes,12,4,4,9.554709,No,No,Yes,3,Both,Yes,Science,Medium,Yes
legination-inc,NaN,USA,Yes,No,Many,Yes,18,0,5,2.339916,No,Yes,No,5,Service,Yes,Management,Medium,Yes
legistorm,NaN,USA,Yes,Yes,Few,No,19,5,1,2.005622,Yes,Yes,No,5,Service,Yes,Science,Medium,No
lenddo,NaN,USA,Yes,Yes,Few,Yes,18,0,5,7.518533,No,No,No,0,Both,No,Science,Medium,Yes
lending-club,NaN,USA,Yes,Yes,Few,Yes,2,1,2,8.626354,Yes,Yes,Yes,2,Product,Yes,Management,Low,No
level-one-technologies,NaN,USA,Yes,No,Many,Yes,9,2,4,2.962913,No,Yes,No,3,Product,No,Science,Medium,Yes
lexisnexis,NaN,USA,No,Yes,Many,No,5,1,1,2.35885,No,No,No,2,Service,No,Science,Low,No
liberty-mutual-insurance-cos,NaN,USA,No,No,Few,No,15,4,3,4.122931,Yes,No,Yes,0,Service,Yes,Technology,High,Yes
lilly-open-innovation-drug-discovery,NaN,USA,No,No,Many,No,14,1,0,5.444802,Yes,No,No,2,Service,Yes,Management,Medium,Yes
liquid-robotics,NaN,USA,No,Yes,Few,Yes,2,1,4,4.42739,Yes,Yes,No,4,Both,No,Science,Medium,Yes
locavore,NaN,USA,Yes,No,Few,Yes,13,3,0,2.166032,Yes,Yes,Yes,0,Both,Yes,Management,Low,Yes
logixdata-llc,NaN,USA,No,No,Many,Yes,10,1,0,9.365116,Yes,Yes,No,5,Service,Yes,Technology,Medium,Yes
loopnet,NaN,USA,Yes,Yes,Many,No,16,4,4,2.611659,No,No,Yes,5,Product,No,Management,Low,Yes
loqate-inc,NaN,USA,No,No,Few,No,13,1,5,8.575639,No,Yes,No,3,Product,Yes,Technology,Low,No
loseitcom,NaN,USA,Yes,No,Few,No,0,2,1,4.310918,No,Yes,Yes,2,Both,Yes,Management,Medium,Yes
loveland-technologies,NaN,USA,No,No,Many,No,8,0,4,1.812447,No,No,No,3,Service,No,Technology,High,Yes
lucid,NaN,USA,No,Yes,Few,Yes,8,5,0,7.090722,No,Yes,Yes,2,Both,No,Technology,Low,Yes
lumesis-inc,NaN,USA,No,Yes,Many,No,14,4,5,4.661013,Yes,Yes,No,4,Both,Yes,Management,High,Yes
mango-transit,NaN,USA,No,No,Few,Yes,2,0,5,1.592407,Yes,No,Yes,5,Service,No,Management,Medium,No
mapbox,NaN,USA,No,No,Few,Yes,6,1,2,5.291266,No,Yes,Yes,0,Product,Yes,Technology,Low,Yes
maponics,NaN,USA,No,No,Few,No,8,5,5,1.359313,Yes,No,Yes,3,Both,Yes,Technology,Medium,No
mapquest,NaN,USA,Yes,Yes,Many,No,9,3,1,7.42513,No,No,Yes,3,Both,No,Technology,Medium,No
marinexplore-inc,NaN,USA,Yes,No,Many,Yes,15,5,3,7.830833,No,Yes,Yes,4,Product,Yes,Technology,Low,No
marketsense,NaN,USA,Yes,Yes,Many,Yes,1,3,0,2.073743,Yes,No,No,3,Product,No,Science,Medium,Yes
marlin--associates,NaN,USA,No,No,Few,Yes,12,0,2,2.510618,No,Yes,No,3,Both,No,Science,Low,Yes
marlin-alter-and-associates,NaN,USA,No,Yes,Few,Yes,19,4,2,7.462162,No,Yes,Yes,0,Product,Yes,Science,High,Yes
mcgraw-hill-financial,NaN,USA,No,No,Many,No,2,2,3,2.179379,No,Yes,No,4,Both,Yes,Technology,Low,No
mckinsey,NaN,USA,Yes,No,Few,No,18,0,5,6.354053,No,No,Yes,3,Product,No,Technology,Medium,No
medwatcher,NaN,USA,No,No,Few,Yes,1,5,1,7.86737,No,No,No,3,Service,No,Management,Medium,No
mercaris,NaN,USA,Yes,Yes,Many,No,3,3,2,1.783766,Yes,Yes,Yes,3,Service,Yes,Technology,Medium,Yes
merrill-corp,NaN,USA,No,Yes,Few,Yes,16,4,1,7.03304,No,No,Yes,5,Both,No,Management,Medium,Yes
merrill-lynch,NaN,USA,Yes,Yes,Many,No,9,1,1,4.072935,No,Yes,No,3,Service,Yes,Science,Medium,No
metlife,NaN,USA,No,Yes,Many,Yes,3,3,5,6.203011,Yes,No,No,5,Service,Yes,Science,High,No
mhealthcoach,NaN,USA,Yes,Yes,Many,Yes,5,0,2,5.518544,Yes,No,No,2,Service,Yes,Management,High,Yes
microbilt-corporation,NaN,USA,Yes,Yes,Few,Yes,3,4,1,7.652937,Yes,No,No,3,Product,No,Science,High,Yes
microsoft-windows-azure-marketplace,NaN,USA,Yes,No,Many,Yes,0,2,2,6.580765,Yes,Yes,Yes,5,Product,Yes,Science,Low,Yes
mint,NaN,USA,Yes,No,Many,Yes,13,2,5,3.078633,No,Yes,No,0,Product,Yes,Management,Medium,Yes
moodys,NaN,USA,No,Yes,Many,No,12,1,1,2.533188,Yes,Yes,Yes,2,Service,No,Science,Medium,Yes
morgan-stanley,NaN,USA,No,No,Few,No,7,2,2,1.607724,No,Yes,Yes,3,Product,No,Management,Low,Yes
morningstar-inc,NaN,USA,Yes,Yes,Few,Yes,3,3,2,8.906728,No,No,No,3,Both,Yes,Management,High,No
mozio,NaN,USA,Yes,No,Many,Yes,2,2,2,1.448623,No,Yes,Yes,3,Product,Yes,Technology,High,No
muckrockcom,NaN,USA,No,No,Few,No,18,3,5,4.050168,Yes,No,No,0,Both,No,Science,High,No
munetrix,NaN,USA,No,Yes,Many,No,18,0,5,3.82477,No,No,Yes,3,Both,Yes,Science,Medium,No
municode,NaN,USA,Yes,No,Few,Yes,0,1,5,5.227772,No,No,No,3,Service,No,Science,High,No
national-van-lines,NaN,USA,Yes,No,Many,No,18,0,1,9.535266,Yes,No,Yes,2,Service,Yes,Technology,Medium,No
nationwide-mutual-insurance-company,NaN,USA,Yes,No,Few,No,10,0,1,4.306045,Yes,No,No,4,Service,Yes,Science,Low,Yes
nautilytics,NaN,USA,Yes,No,Few,Yes,12,2,0,5.450314,Yes,No,Yes,5,Product,No,Technology,High,No
navico,NaN,USA,Yes,No,Many,No,5,4,5,8.270804,No,Yes,Yes,0,Product,Yes,Science,Low,Yes
nera-economic-consulting,NaN,USA,Yes,No,Few,Yes,18,1,5,7.276328,No,No,No,1,Both,No,Technology,Low,No
nerdwallet,NaN,USA,No,Yes,Few,Yes,9,0,2,3.79178,No,No,Yes,2,Both,No,Science,High,No
new-media-parents,NaN,USA,No,Yes,Many,No,2,4,0,3.896426,Yes,Yes,No,5,Both,Yes,Management,High,No
next-step-living,NaN,USA,No,Yes,Few,No,11,0,4,4.061914,Yes,Yes,Yes,3,Both,Yes,Technology,High,No
nextbus,NaN,USA,No,Yes,Few,Yes,18,4,1,2.490752,Yes,No,No,1,Service,Yes,Technology,Medium,Yes
ngap-incorporated,NaN,USA,Yes,Yes,Many,No,19,2,0,2.135161,No,Yes,Yes,1,Both,Yes,Science,Medium,No
nielsen,NaN,USA,No,No,Few,No,9,0,4,1.272573,No,Yes,No,3,Product,No,Technology,High,Yes
noesis,NaN,USA,Yes,Yes,Many,Yes,6,1,4,2.148606,Yes,Yes,No,0,Service,No,Technology,High,Yes
nonprofitmetrics,NaN,USA,No,Yes,Many,Yes,17,3,2,2.112861,No,Yes,Yes,0,Both,No,Technology,Low,No
north-american-van-lines,NaN,USA,No,No,Many,Yes,13,3,2,2.918637,Yes,Yes,No,5,Both,No,Management,Low,Yes
noveda-technologies,NaN,USA,Yes,Yes,Few,No,12,3,3,4.266001,Yes,No,No,5,Service,No,Science,High,No
nucivic,NaN,USA,No,No,Many,Yes,4,0,5,1.913476,Yes,Yes,No,0,Product,Yes,Science,Medium,No
numedii,NaN,USA,Yes,No,Few,Yes,9,5,0,1.302403,No,Yes,No,3,Product,Yes,Science,High,No
oliver-wyman,NaN,USA,Yes,No,Few,Yes,1,4,4,5.88194,Yes,Yes,Yes,1,Both,No,Science,Low,No
ondeck,NaN,USA,Yes,No,Few,Yes,8,2,2,4.483864,No,No,No,2,Product,No,Management,Medium,Yes
onstar,NaN,USA,Yes,No,Few,No,6,4,5,9.583248,No,No,No,4,Service,No,Technology,Low,No
ontodia-inc,NaN,USA,Yes,No,Many,No,3,2,1,4.893504,No,No,No,1,Service,No,Technology,Low,Yes
onvia,NaN,USA,Yes,No,Few,Yes,9,4,3,8.380322,No,Yes,Yes,4,Both,No,Management,High,Yes
open-data-nation,NaN,USA,Yes,Yes,Many,Yes,3,4,1,5.82392,Yes,Yes,No,5,Both,No,Technology,High,Yes
opencounter,NaN,USA,No,Yes,Many,No,20,3,0,2.137076,Yes,No,No,4,Product,Yes,Science,Medium,No
opengov,NaN,USA,Yes,Yes,Many,Yes,9,0,3,2.298466,No,Yes,No,1,Both,Yes,Management,Low,Yes
openplans,NaN,USA,Yes,Yes,Many,Yes,14,2,0,4.369673,Yes,Yes,Yes,5,Service,Yes,Science,Low,No
opportunityspace-inc,NaN,USA,No,Yes,Few,No,6,1,5,3.533521,No,Yes,No,3,Service,Yes,Science,High,No
optensity,NaN,USA,No,No,Many,Yes,19,5,1,6.126955,Yes,No,Yes,1,Service,No,Science,Medium,No
optigov,NaN,USA,Yes,No,Few,Yes,11,3,1,2.224059,No,No,No,1,Product,Yes,Management,Low,No
optuminsight,NaN,USA,Yes,No,Many,No,2,5,2,3.432783,No,No,No,5,Service,Yes,Technology,Low,Yes
orlin-research,NaN,USA,Yes,No,Few,Yes,11,2,0,1.210201,No,No,No,0,Both,Yes,Management,Low,No
osisoft,NaN,USA,Yes,No,Few,No,11,1,5,7.170199,No,Yes,No,4,Both,Yes,Technology,High,No
otc-markets,NaN,USA,No,Yes,Few,No,18,0,5,1.289954,No,No,Yes,3,Service,No,Science,High,No
outline,NaN,USA,Yes,Yes,Many,Yes,18,1,2,2.341123,Yes,Yes,Yes,2,Both,Yes,Science,High,No
oversight-systems,NaN,USA,Yes,Yes,Few,Yes,15,5,4,1.973275,No,Yes,No,4,Both,No,Management,Medium,No
overture-technologies,NaN,USA,Yes,Yes,Few,No,5,2,4,2.065012,No,Yes,Yes,3,Both,No,Technology,High,No
owler,NaN,USA,No,Yes,Few,No,1,3,3,2.347189,Yes,No,Yes,3,Both,No,Management,Low,No
palantir-technologies,NaN,USA,No,Yes,Many,No,16,5,2,6.024812,No,No,Yes,1,Product,No,Management,Medium,Yes
panjiva,NaN,USA,No,No,Many,Yes,20,4,1,9.845921,Yes,Yes,Yes,2,Both,No,Science,Medium,No
