CAX_ID,Dependent,Company_Location,Company_raising_fund,Company_Industry_count,Company_mobile_app,Company_investor_count_seed,Company_investor_count_Angel_VC,Company_cofounders_count,Company_advisors_count,Company_avg_investment_time,Company_crowdsourcing,Company_crowdfunding,Company_big_data,Company_analytics_score,Company_Product_or_service,Company_subscription_offering,Founder_highest_degree_type,Company_difficulty_obtaining_workforce,Company_Founder_Patent
ayasdi,1,USA,No,Yes,Few,No,11,2,0,4.167104,No,No,Yes,1,Both,Yes,Science,Medium,Yes
azavea,1,USA,No,No,Many,No,9,0,1,6.659908,No,No,Yes,3,Product,No,Technology,Medium,Yes
balefire-global,1,USA,Yes,No,Few,Yes,1,2,1,8.891599,Yes,Yes,No,1,Product,No,Management,High,No
barchart,1,USA,No,No,Few,Yes,3,3,4,4.741845,No,Yes,No,5,Both,Yes,Science,Low,No
be-informed,1,USA,No,Yes,Few,No,19,4,0,7.698719,Yes,Yes,No,5,Both,No,Management,Low,No
bekins,1,USA,No,Yes,Few,Yes,19,4,2,7.179669,No,Yes,Yes,4,Service,No,Technology,Medium,Yes
berkery-noyes-mandasoft,1,USA,Yes,Yes,Few,No,20,1,4,4.86325,Yes,No,No,0,Both,No,Technology,High,No
berkshire-hathaway,1,USA,Yes,No,Few,Yes,7,2,5,4.786527,Yes,No,Yes,5,Both,No,Technology,High,Yes
betterlesson,1,USA,Yes,No,Few,No,4,3,4,7.915464,Yes,No,Yes,2,Product,No,Management,High,No
billguard,1,USA,No,Yes,Many,Yes,12,4,1,3.883551,No,No,Yes,5,Service,Yes,Management,Low,No
bing,1,USA,Yes,Yes,Many,Yes,14,3,5,7.66882,Yes,Yes,No,0,Both,No,Technology,Medium,No
biovia,1,USA,Yes,No,Few,No,16,3,4,6.651225,Yes,No,No,2,Both,No,Science,Medium,No
bizvizz,1,USA,No,Yes,Many,Yes,19,3,2,8.33772,Yes,Yes,Yes,4,Both,No,Technology,High,Yes
blackrock,1,USA,No,No,Few,No,10,0,5,5.565886,Yes,Yes,No,5,Product,No,Management,Low,Yes
bloomberg,1,USA,No,Yes,Few,No,2,1,0,7.309283,No,No,Yes,0,Service,No,Technology,High,No
booz-allen-hamilton,1,USA,No,Yes,Few,No,14,4,3,7.888583,No,No,Yes,2,Product,Yes,Science,High,No
boston-consulting-group,1,USA,No,Yes,Many,No,7,2,4,4.31535,Yes,Yes,No,5,Both,Yes,Science,Medium,Yes
boundless,1,USA,Yes,Yes,Many,Yes,0,3,0,4.312954,No,Yes,Yes,5,Service,Yes,Technology,High,Yes
bridgewater,1,USA,No,No,Few,No,1,4,1,3.427066,Yes,Yes,No,3,Service,Yes,Science,Low,No
brightscope,1,USA,No,Yes,Few,Yes,15,3,5,3.993336,Yes,Yes,Yes,2,Both,No,Management,Medium,No
buildfax,1,USA,Yes,Yes,Many,No,10,4,3,3.289338,Yes,No,No,3,Service,Yes,Science,Medium,No
buildingeye,1,USA,No,Yes,Few,No,1,0,5,9.005193,No,No,No,1,Both,Yes,Science,High,Yes
buildzoom,1,USA,No,No,Many,No,17,2,2,4.301107,Yes,No,No,0,Both,Yes,Technology,Medium,Yes
business-and-legal-resources,1,USA,No,No,Many,No,10,0,5,3.1348,Yes,No,No,2,Product,No,Technology,Medium,No
business-monitor-international,1,USA,Yes,Yes,Few,Yes,7,5,2,8.995993,No,No,Yes,4,Both,No,Technology,Medium,No
calcbench-inc,1,USA,No,Yes,Few,Yes,1,2,5,2.307128,No,No,Yes,2,Product,Yes,Science,Medium,Yes
cambridge-information-group,1,USA,Yes,Yes,Many,No,16,3,0,8.963911,No,No,No,0,Product,Yes,Science,High,Yes
cambridge-semantics,1,USA,No,No,Few,Yes,20,5,5,5.190224,Yes,Yes,Yes,3,Service,No,Management,Medium,Yes
can-capital,1,USA,Yes,Yes,Many,No,15,1,3,3.696975,No,Yes,Yes,1,Both,No,Management,High,No
canon,1,USA,Yes,Yes,Many,No,5,5,0,3.510001,Yes,Yes,No,0,Service,No,Science,High,No
capital-cube,1,USA,Yes,Yes,Few,No,19,3,0,4.566501,Yes,No,No,1,Service,No,Science,Medium,No
cappex,1,USA,Yes,Yes,Few,Yes,5,5,4,2.21603,No,Yes,No,5,Both,Yes,Science,High,Yes
captricity,1,USA,Yes,Yes,Few,No,1,4,4,3.651975,Yes,Yes,Yes,4,Product,No,Technology,Medium,No
careset-systems,1,USA,Yes,Yes,Few,No,10,4,3,8.384079,Yes,Yes,No,4,Both,No,Technology,High,Yes
caresetcom,1,USA,No,Yes,Few,Yes,19,2,1,5.704321,Yes,No,No,3,Product,Yes,Management,High,No
carfax,1,USA,No,No,Many,Yes,11,1,0,5.696509,No,No,No,1,Both,No,Science,Low,Yes
caspio,1,USA,Yes,Yes,Few,Yes,4,4,3,3.280625,No,No,No,1,Product,No,Science,Low,No
castle-biosciences,1,USA,Yes,No,Many,Yes,18,3,0,6.519964,No,No,No,1,Both,No,Science,Low,No
cb-insights,1,USA,Yes,No,Many,No,3,0,3,9.57553,No,No,Yes,3,Both,Yes,Technology,Low,No
ceiba-solutions,1,USA,No,No,Few,No,15,0,5,9.873036,Yes,No,No,0,Service,No,Technology,High,No
center-for-responsive-politics,1,USA,No,No,Few,Yes,8,4,5,1.72368,No,No,No,1,Product,No,Science,Low,Yes
cerner,1,USA,Yes,No,Few,No,5,4,0,2.654301,No,Yes,Yes,0,Service,Yes,Science,High,No
certara,1,USA,No,No,Few,Yes,18,4,1,2.497242,Yes,Yes,No,4,Service,No,Management,Low,No
cgi,1,USA,Yes,Yes,Few,Yes,2,0,2,6.797961,No,No,Yes,2,Service,Yes,Technology,Medium,No
charles-river-associates,1,USA,Yes,Yes,Few,Yes,1,0,3,1.411047,No,Yes,No,4,Product,No,Technology,Low,No
charles-schwab-corp,1,USA,Yes,No,Few,Yes,12,1,2,8.20605,No,No,Yes,1,Both,No,Science,Medium,Yes
chemical-abstracts-service,1,USA,No,No,Few,No,1,0,2,7.329849,Yes,Yes,No,1,Both,No,Science,Low,No
child-care-desk,1,USA,Yes,No,Few,No,19,5,3,7.42137,No,Yes,No,0,Product,No,Management,Low,No
chubb,1,USA,Yes,No,Many,No,16,2,5,8.948193,No,Yes,No,2,Service,No,Management,High,No
citigroup,1,USA,Yes,Yes,Many,Yes,15,4,4,4.827151,Yes,Yes,No,1,Product,No,Management,High,Yes
cityscan,1,USA,Yes,No,Many,No,9,3,0,1.115881,Yes,Yes,Yes,3,Product,No,Science,High,No
citysourced,1,USA,No,Yes,Many,No,17,4,2,7.078724,No,No,No,4,Both,Yes,Management,High,No
civic-impulse-llc,1,USA,No,Yes,Few,No,5,0,4,6.183018,No,No,Yes,5,Both,No,Management,High,Yes
civic-insight,1,USA,Yes,No,Few,No,3,4,3,8.213762,No,No,No,0,Service,No,Technology,Low,Yes
civinomics,1,USA,No,Yes,Many,Yes,3,4,2,6.239755,Yes,No,Yes,0,Service,No,Technology,Low,Yes
civis-analytics,1,USA,Yes,Yes,Many,Yes,17,3,1,5.620513,No,Yes,No,1,Service,Yes,Management,Medium,Yes
clean-power-finance,1,USA,No,Yes,Few,No,2,5,0,4.591736,Yes,No,No,1,Service,No,Management,High,No
clearhealthcosts,1,USA,No,No,Few,Yes,6,2,0,8.640711,Yes,No,No,4,Service,No,Technology,High,No
clearstory-data,1,USA,Yes,Yes,Many,Yes,13,1,3,8.56701,Yes,No,No,2,Both,No,Management,High,No
climate-corporation,1,USA,No,Yes,Few,Yes,8,2,3,5.466484,No,No,Yes,1,Product,Yes,Management,High,No
clinicast,1,USA,No,Yes,Many,Yes,18,5,0,8.170001,No,No,Yes,4,Product,No,Science,Low,No
cloudmade,1,USA,Yes,Yes,Few,Yes,0,0,4,4.618966,Yes,Yes,Yes,1,Both,No,Technology,Medium,No
cloudspyre,1,USA,Yes,Yes,Many,No,3,4,5,7.492132,Yes,No,Yes,1,Both,No,Technology,Low,Yes
code-for-america,1,USA,Yes,Yes,Many,No,9,1,5,9.030379,No,No,No,4,Product,Yes,Management,Low,Yes
coden,1,USA,No,Yes,Many,Yes,17,5,5,1.548708,No,Yes,No,0,Service,Yes,Technology,High,No
collective-ip,1,USA,Yes,No,Many,No,3,3,0,2.44042,No,Yes,No,5,Both,No,Management,Low,Yes
college-abacus-an-ecmc-initiative,1,USA,Yes,No,Many,Yes,8,2,0,1.814307,No,No,Yes,5,Service,Yes,Science,High,Yes
college-board,1,USA,Yes,Yes,Few,Yes,13,5,5,2.303264,Yes,Yes,No,1,Both,Yes,Science,High,No
compared-care,1,USA,Yes,Yes,Many,No,17,2,2,1.317882,Yes,Yes,Yes,4,Product,No,Management,High,No
compendia-bioscience-life-technologies,1,USA,No,No,Few,No,5,0,1,9.095178,Yes,Yes,Yes,3,Both,No,Science,Medium,No
compliance-and-risks,1,USA,No,Yes,Many,Yes,18,4,2,7.861432,No,No,Yes,2,Service,Yes,Technology,Medium,No
computer-packages-inc,1,USA,No,No,Few,Yes,14,1,2,3.611974,No,No,Yes,5,Service,No,Technology,Medium,Yes
connectdot-llc,1,USA,No,Yes,Many,No,14,0,3,9.422329,No,Yes,Yes,3,Product,No,Technology,Low,No
connectedu,1,USA,Yes,No,Many,Yes,10,4,4,5.007318,Yes,Yes,No,3,Both,No,Science,High,Yes
connotate,1,USA,Yes,No,Few,No,18,1,2,7.855902,Yes,No,No,1,Both,No,Technology,High,No
construction-monitor-llc,1,USA,Yes,Yes,Many,No,12,3,4,6.120294,No,Yes,Yes,2,Both,No,Technology,Medium,Yes
consumer-reports,1,USA,Yes,Yes,Many,No,14,3,4,6.405148,Yes,No,No,3,Product,Yes,Management,High,No
coolclimate,1,USA,No,No,Few,No,14,4,5,4.271202,No,No,No,4,Both,No,Science,Medium,No
copyright-clearance-center,1,USA,No,No,Few,No,3,0,0,6.605863,No,No,Yes,4,Both,Yes,Technology,Medium,No
corelogic,1,USA,No,No,Many,No,4,5,4,8.433073,No,Yes,No,5,Both,Yes,Science,Medium,Yes
costquest,1,USA,No,No,Many,Yes,9,0,2,9.326554,No,Yes,No,2,Product,Yes,Management,Medium,Yes
credit-karma,1,USA,Yes,No,Few,Yes,3,4,0,9.228587,No,Yes,Yes,4,Both,Yes,Technology,Medium,Yes
credit-sesame,1,USA,No,Yes,Many,No,15,5,5,8.200823,No,Yes,No,1,Service,Yes,Technology,Low,No
crowdanalytix,1,USA,No,No,Few,Yes,0,3,5,2.216399,No,Yes,No,5,Service,No,Science,Medium,Yes
dabo-health,1,USA,Yes,Yes,Few,No,0,4,2,5.153625,No,Yes,Yes,4,Service,Yes,Science,Low,Yes
datalogix,1,USA,Yes,No,Few,No,5,0,4,5.725468,Yes,Yes,No,1,Both,Yes,Technology,Low,No
datamade,1,USA,Yes,No,Few,Yes,6,0,5,7.010998,No,Yes,No,1,Both,Yes,Management,Low,No
datamarket,1,USA,No,Yes,Few,Yes,6,3,4,4.660534,No,No,No,2,Service,Yes,Management,Low,Yes
datamyne,1,USA,No,No,Many,No,17,5,3,7.327379,No,Yes,Yes,2,Service,Yes,Management,Medium,No
dataweave,1,USA,No,No,Many,No,3,4,1,1.70741,Yes,No,No,5,Product,Yes,Technology,Low,No
deloitte,1,USA,No,No,Many,No,14,1,1,9.131607,Yes,No,No,2,Service,Yes,Management,Low,Yes
demystdata,1,USA,No,No,Many,Yes,19,1,5,2.828831,No,Yes,No,1,Both,No,Management,High,Yes
department-of-better-technology,1,USA,No,Yes,Few,No,11,0,1,2.766484,No,No,Yes,4,Both,Yes,Science,Low,No
development-seed,1,USA,No,Yes,Many,No,1,0,2,4.15345,No,Yes,Yes,1,Both,No,Science,Medium,Yes
docket-alarm-inc,1,USA,No,No,Few,Yes,2,1,4,7.664267,No,Yes,No,0,Service,Yes,Management,Medium,No
dow-jones--co,1,USA,Yes,Yes,Few,No,12,0,2,2.807673,Yes,Yes,No,2,Both,No,Science,High,Yes
dun--bradstreet,1,USA,No,Yes,Few,No,14,2,4,7.681077,Yes,No,No,5,Both,No,Technology,Medium,Yes
earth-networks,1,USA,No,Yes,Many,Yes,10,4,0,1.2885,No,Yes,Yes,4,Service,Yes,Technology,High,Yes
earthobserver-app,1,USA,No,No,Many,Yes,4,5,0,7.206831,Yes,No,Yes,3,Both,No,Technology,Medium,No
earthquake-alert,1,USA,No,No,Few,Yes,10,5,1,9.060221,Yes,No,No,2,Product,No,Management,Low,No
eat-shop-sleep,1,USA,No,No,Few,No,4,0,3,9.182227,Yes,Yes,Yes,5,Both,Yes,Technology,Low,Yes
ecodesk,1,USA,No,No,Few,No,20,5,1,3.345705,Yes,Yes,Yes,3,Service,No,Technology,Medium,Yes
einstitutional,1,USA,No,Yes,Few,Yes,11,1,2,5.629124,No,No,Yes,1,Service,Yes,Management,Low,No
embark,1,USA,Yes,Yes,Many,No,20,2,4,3.947826,Yes,No,No,1,Service,No,Management,Low,Yes
emc,1,USA,Yes,Yes,Many,No,0,3,3,1.325875,Yes,Yes,Yes,4,Service,Yes,Management,High,No
energy-points-inc,1,USA,Yes,No,Many,Yes,1,2,5,1.139282,Yes,No,No,3,Service,Yes,Technology,Medium,No
energy-solutions-forum,1,USA,Yes,No,Many,Yes,1,1,4,9.142092,Yes,Yes,No,1,Product,Yes,Management,Low,Yes
enervee-corporation,1,USA,Yes,No,Many,No,19,4,4,6.870246,Yes,No,No,1,Product,No,Science,High,Yes
enigmaio,1,USA,No,Yes,Few,No,17,0,2,6.393107,No,No,No,0,Both,Yes,Management,Low,No
ensco,1,USA,Yes,No,Few,Yes,7,0,4,3.045555,Yes,Yes,No,5,Both,Yes,Management,Medium,No
environmental-data-resources,1,USA,Yes,No,Few,No,4,1,2,4.577689,No,Yes,No,3,Product,Yes,Science,Low,Yes
epsilon,1,USA,No,No,Many,No,7,4,2,3.511109,Yes,No,No,1,Both,Yes,Management,High,Yes
equal-pay-for-women,1,USA,No,Yes,Many,No,16,4,2,8.414518,No,No,Yes,0,Service,No,Technology,Medium,Yes
